BioProject,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJNA912212,Pseudomonas aeruginosa,287,S,122,4594,4716,0.00336
PRJNA721101,Corynebacterium aquatimens,1190508,S,116,5808,5924,0.00336
PRJNA721101,Deinococcus deserti,310783,S,4922,13,4935,0.00335
PRJNA398289,Paracoccus sp. SMMA_5_TC,2654280,S,1189867,43218,1233085,0.00334
PRJNA692666,Finegoldia magna,1260,S,3714,8,3722,0.00334
PRJEB21503,Bradyrhizobium sp. 6(2017),1197460,S,164,62,226,0.00333
PRJNA1077663,Arthrospira platensis,118562,S,29,14693,14722,0.00332
PRJNA807746,Schleiferilactobacillus harbinensis,304207,S,14004,307,14311,0.00332
PRJNA879945,Brevundimonas naejangsanensis,588932,S,2054,147,2201,0.00332
PRJNA629667,Acinetobacter ursingii,108980,S,31913,24,31937,0.0033
PRJNA894103,Lactobacillus delbrueckii,1584,S,5891,1940,7831,0.00329
PRJNA847046,Segatella copri,165179,S,11198,122,11320,0.00329
PRJDB10133,Weissella ceti,759620,S,135,5470,5605,0.00328
PRJNA819236,Ralstonia insidiosa,190721,S,48,11148,11196,0.00328
PRJNA381365,Acanthamoeba lugdunensis,61605,S,7748,1306,9054,0.00328
PRJNA910807,Streptococcus sanguinis,1305,S,137,442,579,0.00328
PRJNA1077663,Staphylococcus aureus,1280,S,802,16118,16920,0.00328
PRJNA807746,Helicobacter apodemus,135569,S,18565,19,18584,0.00327
PRJNA629667,Staphylococcus saccharolyticus,33028,S,28012,241,28253,0.00327
PRJNA879945,Advenella alkanexedens,1481665,S,4101,176,4277,0.00326
PRJNA912096,Lawsonella clevelandensis,1528099,S,19,0,19,0.00325
PRJNA693337,Bacillus cereus,1396,S,1053,14843,15896,0.00325
PRJNA910807,Leptotrichia hongkongensis,554406,S,67,0,67,0.00325
PRJNA629667,Staphylococcus capitis,29388,S,28740,129,28869,0.00324
PRJNA912096,Raineyella fluvialis,2662261,S,24,0,24,0.00322
PRJNA629667,Empedobacter falsenii,343874,S,29366,1052,30418,0.00321
PRJNA807746,Corynebacterium maris,575200,S,367,9232,9599,0.0032
PRJNA629667,Vitreoscilla massiliensis,1689272,S,11403,17525,28928,0.0032
PRJNA749068,Ralstonia sp. RS647,2880989,S,109,35513,35622,0.0032
PRJNA879945,Escherichia coli,562,S,19,652,671,0.0032
PRJNA629667,Haemophilus parainfluenzae,729,S,25763,1078,26841,0.0032
PRJNA629667,Enterococcus faecalis,1351,S,1936,22537,24473,0.00318
PRJNA610482,Phocaeicola vulgatus,821,S,13572,3369,16941,0.00317
PRJNA429692,Paracoccus sp. SMMA_5_TC,2654280,S,1189861,43218,1233079,0.00316
PRJNA629667,Sphingomonas profundi,2681549,S,2147,24665,26812,0.00315
PRJDB15234,Simonsiella muelleri,72,S,3070,31,3101,0.00314
PRJEB55147,Staphylococcus hominis,1290,S,47551,2824,50375,0.00314
PRJNA720296,Halomicronema hongdechloris,1209493,S,181,16896,17077,0.00314
PRJDB15234,Marvinbryantia formatexigens,168384,S,2412,37,2449,0.00313
PRJNA610482,Acinetobacter baumannii,470,S,642436,20476,662912,0.00312
PRJNA720296,Megamonas funiformis,437897,S,16713,296,17009,0.0031
PRJEB55147,Stenotrophomonas indicatrix,2045451,S,149373,594,149967,0.0031
PRJNA1077663,Methylobacterium organophilum,410,S,2369,7408,9777,0.00309
PRJDB10133,Herbaspirillum huttiense,863372,S,15174,702,15876,0.00309
PRJNA721101,Prevotella intermedia,28131,S,5485,114,5599,0.00307
PRJNA629667,Morganella morganii,582,S,26435,32,26467,0.00307
PRJDB10133,Chryseobacterium carnipullorum,1124835,S,9053,1341,10394,0.00307
PRJNA721101,Sphingobium sp. SYK-6,627192,S,29,6872,6901,0.00306
PRJNA744578,Anabaena sp. YBS01,2490939,S,138,37369,37507,0.00305
PRJNA629667,Sphingomonas naphthae,1813468,S,601,23353,23954,0.00304
PRJNA910807,Corynebacterium pseudogenitalium,38303,S,33,1260,1293,0.00304
PRJNA398289,Cutibacterium modestum,2559073,S,1415919,54136,1470055,0.00303
PRJNA807746,Rhizobium sp. TH2,2775403,S,174,9276,9450,0.00301
PRJNA749068,Bacillus spizizenii,96241,S,2521,16,2537,0.00301
PRJNA879945,Bacillus sp. S3,486398,S,74,174,248,0.003
PRJNA879945,Kocuria palustris,71999,S,5242,520,5762,0.00299
PRJNA721101,Faecalibacterium prausnitzii,853,S,2944,3481,6425,0.00296
PRJNA912096,Enterococcus faecalis,1351,S,487,2415,2902,0.00295
PRJNA721101,Haematobacter massiliensis,195105,S,4409,43,4452,0.00294
PRJNA721101,Staphylococcus epidermidis,1282,S,4214,834,5048,0.00292
PRJNA912212,Corynebacterium glucuronolyticum,39791,S,299,1378,1677,0.00292
PRJNA720296,Oceanobacillus iheyensis,182710,S,16342,252,16594,0.00291
PRJNA642342,Paludibaculum fermentans,1473598,S,5842,18,5860,0.00291
PRJNA910807,Parabacteroides merdae,46503,S,37,23,60,0.00291
PRJDB10133,Sphingobium chlorophenolicum,46429,S,112,18050,18162,0.0029
PRJNA629667,Moraxella bovis,476,S,24407,1374,25781,0.00289
PRJNA1048173,Moraxella osloensis,34062,S,105769,324,106093,0.00289
PRJNA807746,Bacteroides ovatus,28116,S,11248,2606,13854,0.00287
PRJNA1048377,Corynebacterium kroppenstedtii,161879,S,87,610,697,0.00287
PRJNA429692,Cutibacterium modestum,2559073,S,1415919,54136,1470055,0.00287
PRJNA749068,Pseudomonas sp. S150,2559074,S,185,35406,35591,0.00286
PRJNA692666,Haemophilus parainfluenzae,729,S,4351,146,4497,0.00285
PRJNA912212,Paraburkholderia fungorum,134537,S,5906,2900,8806,0.00284
PRJNA807746,Salmonella enterica,28901,S,594,10519,11113,0.00284
PRJNA912212,Corynebacterium ulcerans,65058,S,62,1616,1678,0.00284
PRJNA629667,Kinneretia sp. DAIF2,2714952,S,16483,5822,22305,0.00283
PRJNA629667,Corynebacterium kutscheri,35755,S,24876,57,24933,0.0028
PRJNA1044261,Acinetobacter sp. NyZ410,2929509,S,10829,842,11671,0.0028
PRJNA819236,Sphingomonas profundi,2681549,S,9719,435,10154,0.0028
PRJEB21503,Caulobacter segnis,88688,S,19,2,21,0.00279
PRJNA1048377,Simonsiella muelleri,72,S,3853,76,3929,0.00278
PRJDB10133,Sphingobium yanoikuyae,13690,S,585,7350,7935,0.00277
PRJDB10133,Pseudomonas putida,303,S,3361,2372,5733,0.00277
PRJNA894103,Streptococcus thermophilus,1308,S,475,6793,7268,0.00277
PRJNA749068,Duncaniella sp. B8,2576606,S,21,1,22,0.00274
PRJNA721101,Lysobacter maris,1605891,S,1020,3017,4037,0.00274
PRJNA693337,Corynebacterium sp. ATCC 6931,1487956,S,77,15848,15925,0.00273
PRJNA910807,Roseburia intestinalis,166486,S,514,114,628,0.00272
PRJNA564695,Streptococcus pneumoniae,1313,S,452,4053,4505,0.00271
PRJNA912212,Burkholderia mallei,13373,S,28,3469,3497,0.00269
PRJNA1048377,Acinetobacter baumannii,470,S,171,507,678,0.00269
PRJNA912096,Akkermansia muciniphila,239935,S,17,0,17,0.00269
PRJNA629667,Ralstonia solanacearum,305,S,184,21266,21450,0.00269
PRJNA749068,Bacillus cereus,1396,S,2555,19582,22137,0.00268
PRJNA847046,Prevotella melaninogenica,28132,S,8463,2163,10626,0.00267
PRJNA692666,Streptococcus pneumoniae,1313,S,93,3700,3793,0.00267
PRJNA807746,Stenotrophomonas maltophilia,40324,S,105,10463,10568,0.00266
PRJNA819236,Prevotella denticola,28129,S,2858,8084,10942,0.00266
PRJNA879945,Alicycliphilus denitrificans,179636,S,2232,25,2257,0.00266
PRJNA807746,Streptococcus agalactiae,1311,S,79,14391,14470,0.00265
PRJDB15234,Rothia kristinae,37923,S,11985,467,12452,0.00265
PRJNA564695,Dolosigranulum pigrum,29394,S,3490,7,3497,0.00264
PRJNA807746,Corynebacterium yudongzhengii,2080740,S,2850,4910,7760,0.00264
PRJNA807746,Corynebacterium pseudogenitalium,38303,S,50,9733,9783,0.00264
PRJNA1077663,Simonsiella muelleri,72,S,14554,594,15148,0.00261
PRJNA629667,Streptococcus pneumoniae,1313,S,1957,20148,22105,0.0026
PRJNA610482,Corynebacterium tuberculostearicum,38304,S,5092,164,5256,0.00259
PRJNA398289,Klebsiella pneumoniae,573,S,1154887,129216,1284103,0.00259
PRJDB15234,Ligilactobacillus ruminis,1623,S,119,2349,2468,0.00257
PRJDB15234,Butyrivibrio fibrisolvens,831,S,686,22,708,0.00257
PRJNA692666,Corynebacterium accolens,38284,S,18,4199,4217,0.00257
PRJNA807746,Paucibacter sp. S2-9,3019553,S,2875,62,2937,0.00256
PRJNA1077663,Lentilactobacillus parabuchneri,152331,S,13909,384,14293,0.00255
PRJNA807746,Streptococcus sanguinis,1305,S,48,2219,2267,0.00255
PRJNA564695,Lawsonella clevelandensis,1528099,S,3565,1,3566,0.00255
PRJNA802336,Streptococcus anginosus,1328,S,1740299,1300493,3040792,0.00255
PRJDB15234,Mesorhizobium terrae,2725666,S,40,366,406,0.00255
PRJNA894103,Corynebacterium massiliense,441501,S,68,7133,7201,0.00254
PRJEB55147,Kocuria rosea,1275,S,736891,6144,743035,0.00254
PRJDB10133,Mycolicibacterium aubagnense,319707,S,4126,1618,5744,0.00253
PRJNA692666,Rothia mucilaginosa,43675,S,4229,18,4247,0.00252
PRJNA564695,Haemophilus parainfluenzae,729,S,4431,162,4593,0.00251
PRJNA879945,Actinomyces procaprae,2560010,S,3287,5,3292,0.00251
PRJNA879945,Ligilactobacillus salivarius,1624,S,91,2926,3017,0.0025
PRJNA1044261,Simonsiella muelleri,72,S,12757,215,12972,0.0025
PRJNA807746,Roseburia intestinalis,166486,S,2680,8413,11093,0.00248
PRJNA721101,Staphylococcus capitis,29388,S,3164,755,3919,0.00248
PRJNA894103,Peduovirus P22H1,2844217,S,2316,3808,6124,0.00247
PRJDB15234,Enterocloster asparagiformis,333367,S,1139,18,1157,0.00247
PRJNA807746,Dechloromonas sp. A34,447588,S,3813,39,3852,0.00247
PRJNA429692,Klebsiella pneumoniae,573,S,1154886,129215,1284101,0.00245
PRJNA912212,Corynebacterium glutamicum,1718,S,16,5954,5970,0.00245
PRJNA1048173,Simonsiella muelleri,72,S,85897,1996,87893,0.00244
PRJNA749068,Bacillus sp. CMF12,2884834,S,331,19519,19850,0.00242
PRJNA879945,Pseudomonas guguanensis,1198456,S,41,1414,1455,0.00242
PRJDB10133,Jouyvirus ev017,2844245,S,338,1666,2004,0.00242
PRJNA912212,Fenollaria massiliensis,938288,S,4346,51,4397,0.00242
PRJNA912096,Anaerobutyricum hallii,39488,S,51,0,51,0.0024
PRJNA692666,Enterococcus faecium,1352,S,703,4772,5475,0.00239
PRJNA695410,Bifidobacterium breve,1685,S,5527,375,5902,0.00238
PRJNA819236,Pseudomonas putida,303,S,4223,4396,8619,0.00238
PRJNA642342,Bifidobacterium animalis,28025,S,931,1611,2542,0.00238
PRJNA689968,Paludibaculum fermentans,1473598,S,5842,18,5860,0.00238
PRJNA629667,Chryseobacterium sp. ZHDP1,2838877,S,15807,2888,18695,0.00238
PRJNA910807,Prevotella sp. oral taxon 299,652716,S,115,27,142,0.00237
PRJNA610482,Acinetobacter pseudolwoffii,2053287,S,17396,302,17698,0.00237
PRJNA894103,Corynebacterium afermentans,38286,S,93,4168,4261,0.00237
PRJNA749068,Kaistia sp. 32K,2795690,S,30503,9,30512,0.00235
PRJNA807746,Paroceanicella profunda,2579971,S,5051,135,5186,0.00234
PRJNA807746,Acinetobacter baumannii,470,S,202,5925,6127,0.00234
PRJEB21503,Corynebacterium accolens,38284,S,283,78,361,0.00233
PRJNA646315,Pseudomonas azotoformans,47878,S,3772,2051,5823,0.00233
PRJNA910807,Corynebacterium urealyticum,43771,S,22,47,69,0.00233
PRJNA894103,Corynebacterium yudongzhengii,2080740,S,406,7977,8383,0.00232
PRJNA749068,Arthrospira platensis,118562,S,523,18247,18770,0.00232
PRJNA894103,Nocardia sp. PE-7,3058426,S,5852,190,6042,0.00232
PRJNA749068,Bradyrhizobium barranii,2992140,S,973,13973,14946,0.00231
PRJEB55147,Acinetobacter junii,40215,S,168693,19206,187899,0.00231
PRJNA749068,Enterococcus faecalis,1351,S,8251,19779,28030,0.00231
PRJNA894103,Faecalibacillus intestinalis,1982626,S,6529,232,6761,0.00231
PRJNA912096,Neisseria lactamica,486,S,23,2908,2931,0.0023
PRJNA564695,Staphylococcus epidermidis,1282,S,2921,49,2970,0.0023
PRJEB21503,Jouyvirus ev017,2844245,S,67,18,85,0.0023
PRJDB15234,Staphylococcus epidermidis,1282,S,5048,106,5154,0.00229
PRJNA744578,Faecalibaculum rodentium,1702221,S,25684,482,26166,0.00229
PRJNA879945,Ruminococcus bovis,2564099,S,5731,494,6225,0.00229
PRJDB10133,Acinetobacter johnsonii,40214,S,4280,121,4401,0.00228
PRJNA693337,Corynebacterium kroppenstedtii,161879,S,8263,806,9069,0.00228
PRJNA693337,Blautia obeum,40520,S,4395,1632,6027,0.00228
PRJNA629667,Moraxella bovoculi,386891,S,13869,5590,19459,0.00227
PRJNA398289,Staphylococcus warneri,1292,S,433038,128813,561851,0.00227
PRJNA847046,Solibaculum mannosilyticum,2780922,S,8041,858,8899,0.00226
PRJNA807746,Brevundimonas vitisensis,2800818,S,373,9379,9752,0.00226
PRJNA879945,Paracoccus tegillarcae,1529068,S,182,1506,1688,0.00226
PRJNA802336,Corynebacterium matruchotii,43768,S,665113,2047,667160,0.00225
PRJNA642342,Bifidobacterium adolescentis,1680,S,4797,324,5121,0.00224
PRJNA721101,Streptococcus agalactiae,1311,S,18,4691,4709,0.00224
PRJNA749068,Bacillus anthracis,1392,S,654,25641,26295,0.00224
PRJNA749068,Ligilactobacillus ruminis,1623,S,25159,3383,28542,0.00224
PRJNA879945,Klebsiella pneumoniae,573,S,131,242,373,0.00223
PRJNA910807,Peptoniphilus harei,54005,S,2326,49,2375,0.00223
PRJNA847046,Bartonella krasnovii,2267275,S,6845,2,6847,0.00222
PRJDB10133,Flavobacterium columnare,996,S,235,11104,11339,0.00222
PRJNA693337,Anaerobutyricum hallii,39488,S,4957,1249,6206,0.00221
PRJNA847046,Faecalibacterium prausnitzii,853,S,2228,6499,8727,0.00221
PRJNA629667,Sphingomonas changnyeongensis,2698679,S,2227,15677,17904,0.0022
PRJNA912212,Streptococcus equi,1336,S,1917,129,2046,0.0022
PRJNA629667,Sphingobium sp. SYK-6,627192,S,98,18345,18443,0.00219
PRJNA721101,Segatella copri,165179,S,5362,0,5362,0.00218
PRJNA610482,Ralstonia insidiosa,190721,S,32389,1124,33513,0.00218
PRJNA744578,Synechococcus sp. MVIR-18-1,1386941,S,1049,23355,24404,0.00217
PRJNA749068,Simonsiella muelleri,72,S,25044,556,25600,0.00217
PRJNA807746,Bacteroides fragilis,817,S,333,4197,4530,0.00217
PRJNA564695,Chryseobacterium sp. 6424,2039166,S,1541,655,2196,0.00216
PRJDB10133,Sphingobacterium spiritivorum,258,S,10102,77,10179,0.00216
PRJNA879945,Helicobacter typhlonius,76936,S,1287,11,1298,0.00216
PRJNA807746,Caldibacillus thermoamylovorans,35841,S,4354,2,4356,0.00216
PRJNA1048173,Simplicispira suum,2109915,S,80965,2948,83913,0.00215
PRJNA912212,Corynebacterium bovis,36808,S,460,30,490,0.00215
PRJNA721101,Streptococcus pneumoniae,1313,S,25,3413,3438,0.00215
PRJNA912212,Corynebacterium jeikeium,38289,S,211,2525,2736,0.00215
PRJNA429692,Staphylococcus warneri,1292,S,433038,128814,561852,0.00215
PRJNA610482,Torque teno virus 12,687351,S,26569,0,26569,0.00214
PRJNA564695,Corynebacterium phocae,161895,S,2389,660,3049,0.00214
PRJNA879945,Brevundimonas pondensis,2774189,S,985,3145,4130,0.00214
PRJDB15234,Sphingomonas cannabina,2899123,S,337,4487,4824,0.00214
PRJNA692666,Muribaculum intestinale,1796646,S,5360,340,5700,0.00213
PRJNA564695,Rothia mucilaginosa,43675,S,4276,15,4291,0.00213
PRJNA744578,Capnocytophaga sputigena,1019,S,25131,677,25808,0.00213
PRJNA692666,Corynebacterium sanguinis,2594913,S,2597,136,2733,0.00212
PRJNA912096,Staphylococcus capitis,29388,S,23,39,62,0.00211
PRJNA749068,Halomonas tianxiuensis,2497861,S,27922,362,28284,0.00211
PRJNA912096,Acetivibrio saccincola,1677857,S,19,2,21,0.0021
PRJNA894103,Lacticaseibacillus paracasei,1597,S,140,5300,5440,0.0021
PRJNA744578,Gloeocapsa sp. PCC 7428,1173026,S,86,25339,25425,0.0021
PRJNA894103,Corynebacterium diphtheriae,1717,S,54,17979,18033,0.00209
PRJNA744578,Planktothrix agardhii,1160,S,987,24439,25426,0.00209
PRJNA721101,Massilia oculi,945844,S,2616,172,2788,0.00209
PRJNA819236,Helicobacter typhlonius,76936,S,7893,716,8609,0.00208
PRJNA807746,Weissella jogaejeotgali,1631871,S,73,9406,9479,0.00207
PRJNA1077663,Sphingomonas sp. NBWT7,2596913,S,24,10816,10840,0.00206
PRJNA879945,Pseudomonas fragi,296,S,19,272,291,0.00205
PRJNA398289,Priestia flexa,86664,S,1638545,49656,1688201,0.00204
PRJNA879945,Sneathia vaginalis,187101,S,2454,10,2464,0.00204
PRJDB10133,Rhodopseudomonas boonkerdii,475937,S,1992,390,2382,0.00203
PRJNA807746,Corynebacterium sp. ATCC 6931,1487956,S,39,10697,10736,0.00203
PRJNA879945,Sphingomonas changnyeongensis,2698679,S,25,257,282,0.00203
PRJNA910807,Corynebacterium massiliense,441501,S,20,379,399,0.00203
PRJNA879945,Staphylococcus pasteuri,45972,S,106,62,168,0.00203
PRJNA749068,Delftia tsuruhatensis,180282,S,363,15420,15783,0.00202
PRJNA720296,Segatella copri,165179,S,10794,128,10922,0.00202
PRJNA564695,Pseudomonas fragi,296,S,1662,238,1900,0.00202
PRJNA879945,Acinetobacter baumannii,470,S,27,260,287,0.00202
PRJNA629667,Paucibacter sp. S2-9,3019553,S,15349,1154,16503,0.00201
PRJNA629667,Alcaligenes faecalis,511,S,43,15893,15936,0.00201
PRJNA807746,Akkermansia muciniphila,239935,S,8000,93,8093,0.00201
PRJNA879945,Phocaeicola vulgatus,821,S,330,143,473,0.002
PRJNA912096,Alistipes senegalensis,1288121,S,20,0,20,0.002
PRJNA629667,Porphyromonas endodontalis,28124,S,15681,27,15708,0.002
PRJNA910807,Paeniclostridium sordellii,1505,S,50,9,59,0.002
PRJNA912096,Weissella jogaejeotgali,1631871,S,903,1619,2522,0.00199
PRJDB10133,Mariniblastus fucicola,980251,S,6650,63,6713,0.00198
PRJNA802336,Eggerthella lenta,84112,S,3498501,125155,3623656,0.00198
PRJNA807746,Rhizobium sp. CC-CFT758,2926709,S,16,9179,9195,0.00198
PRJDB10133,Lawsonella clevelandensis,1528099,S,974,7,981,0.00198
PRJNA912096,Duncaniella sp. B8,2576606,S,96,5,101,0.00197
PRJDB15234,Sphingomonas changnyeongensis,2698679,S,20,5243,5263,0.00197
PRJNA692666,Corynebacterium jeikeium,38289,S,329,1560,1889,0.00197
PRJNA610482,Torque teno virus 11,687350,S,45773,9201,54974,0.00194
PRJNA894103,Bacteroides uniformis,820,S,3896,2443,6339,0.00193
PRJNA629667,Acinetobacter sp. NCu2D-2,1608473,S,14559,463,15022,0.00193
PRJNA610482,Mammaliicoccus lentus,42858,S,221870,18679,240549,0.00193
PRJNA693337,Oscillatoria nigro-viridis,482564,S,180,7894,8074,0.00193
PRJNA910807,Blautia wexlerae,418240,S,327,219,546,0.00193
PRJNA847046,Rhizobium sp. CC-CFT758,2926709,S,3078,7702,10780,0.00192
PRJDB10133,Streptococcus pneumoniae,1313,S,62,1183,1245,0.00192
PRJNA894103,Roseburia intestinalis,166486,S,4215,3189,7404,0.00191
PRJNA894103,Ruminococcus bovis,2564099,S,5816,6,5822,0.00191
PRJNA819236,Barnesiella viscericola,397865,S,7308,425,7733,0.0019
PRJEB21503,Acinetobacter sp. TAC-1,3027470,S,72,109,181,0.0019
PRJNA912096,Paenibacillus sp. Cedars,1980674,S,19,0,19,0.0019
PRJNA721101,Sphingomonas panacisoli,1813879,S,40,3385,3425,0.00189
PRJNA894103,Corynebacterium kroppenstedtii,161879,S,3203,2491,5694,0.00189
PRJNA692666,Moraxella osloensis,34062,S,1163,0,1163,0.00189
PRJNA642342,Rhodoplanes sp. Z2-YC6860,674703,S,1575,361,1936,0.00189
PRJNA564695,Corynebacterium ulcerans,65058,S,71,3337,3408,0.00189
PRJNA744578,Thermocoleostomius sinensis,3065396,S,140,22301,22441,0.00188
PRJNA721101,Corynebacterium afermentans,38286,S,163,3020,3183,0.00187
PRJNA847046,Acinetobacter schindleri,108981,S,4996,787,5783,0.00187
PRJNA721101,Sphingomonas morindae,1541170,S,32,2917,2949,0.00187
PRJNA629667,Brucella sp. MAB-22,2986424,S,98,13469,13567,0.00186
PRJNA610482,Salmonella enterica,28901,S,5879,15602,21481,0.00186
PRJNA894103,Roseburia hominis,301301,S,1567,4154,5721,0.00186
PRJNA847046,Dialister succinatiphilus,487173,S,6572,751,7323,0.00186
PRJNA807746,Limosilactobacillus reuteri,1598,S,89,3354,3443,0.00186
PRJNA721101,Deinococcus geothermalis,68909,S,1860,5,1865,0.00185
PRJNA912096,Dorea longicatena,88431,S,38,1,39,0.00184
PRJNA689968,Bifidobacterium adolescentis,1680,S,4797,324,5121,0.00184
PRJNA802336,Moraxella osloensis,34062,S,2241,85,2326,0.00183
PRJNA720296,Arthrospira platensis,118562,S,96,9677,9773,0.00183
PRJNA398289,Chryseobacterium shandongense,1493872,S,427005,27111,454116,0.00183
PRJNA610482,Alphatorquevirus homin9,3048433,S,22676,0,22676,0.00182
PRJNA912212,Roseicitreum antarcticum,564137,S,4506,2957,7463,0.00182
PRJDB10133,Staphylococcus pasteuri,45972,S,2855,56,2911,0.00182
PRJNA879945,Herbinix luporum,1679721,S,3226,181,3407,0.00182
PRJNA1048377,Kocuria sp. TGY1127_2,2711328,S,42,1585,1627,0.00182
PRJDB10133,Sphingobium sp. SYK-6,627192,S,251,11062,11313,0.00181
PRJNA894103,Corynebacterium sp. SCR221107,3017361,S,491,4884,5375,0.00181
PRJNA721101,Veillonella rogosae,423477,S,2739,567,3306,0.00181
PRJNA912096,Streptococcus dysgalactiae,1334,S,101,4396,4497,0.00181
PRJNA912212,Acinetobacter sp. AOR07_HL,2919376,S,50,5934,5984,0.0018
PRJNA629667,Achromobacter insolitus,217204,S,159,14456,14615,0.0018
PRJNA749068,Candidatus Methylopumilus turicensis,1581680,S,21332,2728,24060,0.0018
PRJEB21503,Comamonas odontotermitis,379895,S,16,22,38,0.00179
PRJNA879945,Gemella sanguinis,84135,S,116,31,147,0.00179
PRJNA912212,Moraxella osloensis,34062,S,1515,6,1521,0.00179
PRJNA1077663,Brevundimonas sp. Bb-A,2560058,S,7693,240,7933,0.00179
PRJNA819236,Anaerostipes hadrus,649756,S,6129,1131,7260,0.00178
PRJDB10133,Brachybacterium faecium,43669,S,4798,4224,9022,0.00178
PRJNA912096,Sediminibacillus dalangtanensis,2729421,S,44,8,52,0.00177
PRJNA910807,Acinetobacter baumannii,470,S,68,410,478,0.00177
PRJNA807746,Klebsiella pneumoniae,573,S,770,4852,5622,0.00177
PRJNA912212,Simonsiella muelleri,72,S,1217,104,1321,0.00177
PRJNA879945,Pseudomonas wenzhouensis,2906062,S,26,2111,2137,0.00177
PRJNA879945,Anaerobutyricum hallii,39488,S,2039,449,2488,0.00177
PRJNA695410,Heyndrickxia coagulans,1398,S,548,4116,4664,0.00176
PRJNA802336,Rothia aeria,172042,S,79252,2555,81807,0.00176
PRJDB15234,Bifidobacterium animalis,28025,S,22,434,456,0.00176
PRJNA1077663,Brevundimonas nasdae,172043,S,167,4907,5074,0.00176
PRJNA910807,Corynebacterium diphtheriae,1717,S,22,4643,4665,0.00175
PRJNA910807,Lactobacillus iners,147802,S,47,2,49,0.00175
PRJNA398289,Pteropus lylei-associated alphaherpesvirus,2597167,S,423436,0,423436,0.00174
PRJNA802336,Actinomyces sp. oral taxon 171,706438,S,454220,62563,516783,0.00174
PRJNA429692,Chryseobacterium shandongense,1493872,S,427005,27111,454116,0.00174
PRJNA610482,Moraxella osloensis,34062,S,14261,28,14289,0.00174
PRJNA847046,Brevundimonas naejangsanensis,588932,S,245,6200,6445,0.00174
PRJNA693337,Arthrospira platensis,118562,S,344,6935,7279,0.00174
PRJDB10133,Variovorax paradoxus,34073,S,2895,252,3147,0.00173
PRJNA910807,Rothia mucilaginosa,43675,S,659,9,668,0.00173
PRJNA721101,Corynebacterium bovis,36808,S,83,1074,1157,0.00172
PRJDB15234,Bacteroides caecimuris,1796613,S,340,26,366,0.00172
PRJDB15234,Psychromicrobium lacuslunae,1618207,S,407,2,409,0.00172
PRJNA1077663,Sphingomonas sp. S6-11,2991075,S,63,8927,8990,0.00171
PRJNA912212,Arthrospira platensis,118562,S,129,2057,2186,0.00171
PRJNA1077663,Segatella copri,165179,S,7793,75,7868,0.0017
PRJNA744578,Lysinibacillus sphaericus,1421,S,92,21161,21253,0.00169
PRJNA910807,Bacteroides fragilis,817,S,64,6,70,0.00169
PRJNA847046,Candidatus Saccharimonas aalborgensis,1332188,S,5338,53,5391,0.00169
PRJNA818470,Bartonella krasnovii,2267275,S,84104,38,84142,0.00169
PRJNA1077663,Candidatus Kaistella beijingensis,2820270,S,4776,89,4865,0.00169
PRJNA807746,Komagataeibacter saccharivorans,265959,S,5473,7,5480,0.00168
PRJNA1044261,Sphingomonas nostoxanthinifaciens,2872652,S,1238,9653,10891,0.00168
PRJNA802336,Paenibacillus xylanilyticus,248903,S,848,417,1265,0.00168
PRJNA912212,Brevundimonas sp. Bb-A,2560058,S,690,3525,4215,0.00168
PRJDB10133,Poriferisphaera corsica,2528020,S,5648,3,5651,0.00167
PRJNA629667,Corynebacterium heidelbergense,2055947,S,13599,120,13719,0.00166
PRJNA744578,Simonsiella muelleri,72,S,19928,103,20031,0.00166
PRJNA429692,Pteropus lylei-associated alphaherpesvirus,2597167,S,423436,0,423436,0.00165
PRJDB10133,Magnetospirillum gryphiswaldense,55518,S,5906,267,6173,0.00165
PRJNA879945,Subdoligranulum variabile,214851,S,4180,292,4472,0.00165
PRJNA749068,Candidatus Chromulinivorax destructor,2066483,S,17670,0,17670,0.00164
PRJNA629667,Parvimonas micra,33033,S,13006,27,13033,0.00164
PRJNA564695,Thermus scotoductus,37636,S,1082,57,1139,0.00163
PRJDB10133,Rhizobium oryzihabitans,2267833,S,35,4623,4658,0.00163
PRJNA695410,Enterococcus faecium,1352,S,676,3542,4218,0.00162
PRJNA910807,Odoribacter splanchnicus,28118,S,317,1,318,0.00162
PRJNA629667,Brevundimonas naejangsanensis,588932,S,71,13743,13814,0.00162
PRJNA1077663,Listeria monocytogenes,1639,S,224,14306,14530,0.00161
PRJNA1048173,Pseudomonas sp. BYT-5,2944392,S,154,61685,61839,0.00161
PRJDB10133,Rothia amarae,169480,S,2249,299,2548,0.0016
PRJNA744578,Luteitalea sp. TBR-22,2802971,S,1092,16820,17912,0.0016
PRJNA912096,Jeotgalicoccus sp. WY2,2708346,S,34,0,34,0.0016
PRJNA912096,Staphylococcus gallinarum,1293,S,1957,71,2028,0.0016
PRJNA879945,Corynebacterium sanguinis,2594913,S,21,2346,2367,0.00159
PRJNA910807,Gardnerella swidsinskii,2792979,S,835,32,867,0.00159
PRJNA693337,Haemophilus parainfluenzae,729,S,5751,2460,8211,0.00159
PRJNA695410,Helicobacter typhlonius,76936,S,5390,178,5568,0.00159
PRJNA879945,Lactobacillus intestinalis,151781,S,114,567,681,0.00158
